,Precisión Global,Error Global,Precisión Positiva (PP),Precisión Negativa (PN),Proporción de Falsos Positivos (PFP),Proporción de Falsos Negativos (PFN),Asertividad Positiva (AP),Asertividad Negativa (AN)
LDA,0.9743589743589743,0.02564102564102564,0.9861111111111112,0.8333333333333334,0.16666666666666666,0.013888888888888888,0.9861111111111112,0.8333333333333334
QDA,0.9358974358974359,0.0641025641025641,0.9722222222222222,0.5,0.5,0.027777777777777776,0.958904109589041,0.6
SVM,0.935897,0.064103,1.0,0.583333,0.416667,0.0,0.929577,1.0
KNN,0.923077,0.076923,1.0,0.5,0.5,0.0,0.916667,1.0
Bosque Aleatorio,0.923077,0.076923,1.0,0.5,0.5,0.0,0.916667,1.0
XG Boost,0.910256,0.089744,0.969697,0.583333,0.416667,0.030303,0.927536,0.777778
LDA,0.8877551020408163,0.11224489795918367,1.0,0.47619047619047616,0.5238095238095238,0.0,0.875,1.0
Árbol de Decisión,0.884615,0.115385,0.954545,0.5,0.5,0.045455,0.913043,0.666667
ADA Boost,0.884615,0.115385,0.939394,0.583333,0.416667,0.060606,0.925373,0.636364
Naive Bayes,0.884615,0.115385,0.924242,0.666667,0.333333,0.075758,0.938462,0.615385
QDA,0.8367346938775511,0.16326530612244897,0.974025974025974,0.3333333333333333,0.6666666666666666,0.025974025974025976,0.8426966292134831,0.7777777777777778
